onset	duration	trial_type	value	sample
0.0	2.0048828125	word	ook	0
2.0048828125	0.9990234375	fixation	+	2053
3.00390625	2.0009765625	word	als	3076
5.0048828125	1.001953125	fixation	+	5125
6.0068359375	2.0009765625	word	noordenwind	6151
8.0078125	1.0029296875	fixation	+	8200
9.0107421875	2.0	word	vak	9227
11.0107421875	1.001953125	fixation	+	11275
12.0126953125	2.0009765625	word	over	12301
14.013671875	1.0009765625	fixation	+	14350
15.0146484375	2.001953125	word	onmiddellijk	15375
17.0166015625	1.00390625	fixation	+	17425
18.0205078125	1.9990234375	word	onschuldig	18453
20.01953125	1.001953125	fixation	+	20500
21.021484375	2.0048828125	word	verstijfde	21526
23.0263671875	1.0009765625	fixation	+	23579
24.02734375	2.001953125	word	ze	24604
26.029296875	1.001953125	fixation	+	26654
27.03125	2.0009765625	word	groen	27680
29.0322265625	1.0	fixation	+	29729
30.0322265625	2.001953125	word	dakker	30753
32.0341796875	1.001953125	fixation	+	32803
33.0361328125	2.0009765625	word	erheen	33829
35.037109375	1.0	fixation	+	35878
36.037109375	2.0048828125	word	dan	36902
38.0419921875	1.0	fixation	+	38955
39.0419921875	2.0009765625	word	terugvinden	39979
41.04296875	1.0009765625	fixation	+	42028
42.0439453125	2.001953125	word	bak	43053
44.0458984375	1.0009765625	fixation	+	45103
45.046875	2.0029296875	word	schold	46128
47.0498046875	1.0048828125	fixation	+	48179
48.0546875	1.9970703125	word	3	49208
50.0517578125	1.0029296875	fixation	+	51253
51.0546875	2.0	word	9	52280
53.0546875	1.001953125	fixation	+	54328
54.056640625	2.0029296875	word	11	55354
56.0595703125	0.9990234375	fixation	+	57405
57.05859375	2.001953125	word	wel	58428
59.060546875	1.001953125	fixation	+	60478
60.0625	2.0029296875	word	of	61504
62.0654296875	1.0	fixation	+	63555
63.0654296875	2.00390625	word	haar	64579
65.0693359375	0.9990234375	fixation	+	66631
66.068359375	2.00390625	word	wanneer	67654
68.072265625	1.001953125	fixation	+	69706
69.07421875	1.998046875	word	hierop	70732
71.072265625	0.99609375	fixation	+	72778
72.068359375	2.0078125	word	met	73798
74.076171875	1.00390625	fixation	+	75854
75.080078125	2.0009765625	word	zanddak	76882
77.0810546875	1.0029296875	fixation	+	78931
78.083984375	1.998046875	word	kin	79958
80.08203125	1.0029296875	fixation	+	82004
81.0849609375	2.0009765625	word	sprong	83031
83.0859375	1.0009765625	fixation	+	85080
84.0869140625	2.00390625	word	gefluit	86105
86.0908203125	1.0	fixation	+	88157
87.0908203125	2.0029296875	word	zonlicht	89181
89.09375	1.001953125	fixation	+	91232
90.095703125	2.0	word	tak	92258
92.095703125	1.0009765625	fixation	+	94306
93.0966796875	2.0029296875	word	bij	95331
95.099609375	0.9990234375	fixation	+	97382
96.0986328125	2.001953125	word	uittrekken	98405
98.1005859375	1.001953125	fixation	+	100455
99.1025390625	2.0009765625	word	verdwaald	101481
101.103515625	1.0009765625	fixation	+	103530
102.1044921875	2.0009765625	word	nachtegalen	104555
104.10546875	1.00390625	fixation	+	106604
105.109375	2.0009765625	word	vlakbij	107632
107.1103515625	1.001953125	fixation	+	109681
108.1123046875	1.9990234375	word	binnenplaats	110707
110.111328125	1.005859375	fixation	+	112754
111.1171875	2.001953125	word	alsof	113784
113.119140625	1.0009765625	fixation	+	115834
114.1201171875	1.998046875	word	hij	116859
116.1181640625	1.00390625	fixation	+	118905
117.1220703125	2.005859375	word	te	119933
119.1279296875	0.9970703125	fixation	+	121987
120.125	2.0	word	wegpakte	123008
122.125	1.0	fixation	+	125056
123.125	2.0048828125	word	tussen	126080
125.1298828125	0.9990234375	fixation	+	128133
126.12890625	2.001953125	word	een	129156
128.130859375	1.0029296875	fixation	+	131206
129.1337890625	2.0009765625	word	maar	132233
131.134765625	1.001953125	fixation	+	134282
132.13671875	2.0009765625	word	totdat	135308
134.1376953125	1.0009765625	fixation	+	137357
135.138671875	2.0029296875	word	dauwdruppel	138382
137.1416015625	1.0029296875	fixation	+	140433
138.14453125	1.9970703125	word	van	141460
140.1416015625	1.0029296875	fixation	+	143505
141.14453125	2.001953125	word	stiekem	144532
143.146484375	1.0009765625	fixation	+	146582
144.1474609375	2.00390625	word	`s	147607
146.1513671875	1.0009765625	fixation	+	149659
147.15234375	2.001953125	word	naar	150684
149.154296875	1.001953125	fixation	+	152734
150.15625	2.0	word	zo	153760
152.15625	1.0029296875	fixation	+	155808
153.1591796875	2.001953125	word	teruggekregen	156835
155.1611328125	1.0009765625	fixation	+	158885
156.162109375	2.0	word	wat	159910
158.162109375	1.00390625	fixation	+	161958
159.166015625	2.0	word	betovering	162986
161.166015625	1.0029296875	fixation	+	165034
162.1689453125	1.998046875	word	boomstammen	166061
164.1669921875	1.00390625	fixation	+	168107
165.1708984375	2.0009765625	word	in	169135
167.171875	1.0029296875	fixation	+	171184
168.1748046875	2.00390625	word	tuwiet	172211
170.1787109375	0.998046875	fixation	+	174263
171.1767578125	2.0029296875	word	2	175285
173.1796875	1.0	fixation	+	177336
174.1796875	2.001953125	word	de	178360
176.181640625	1.0009765625	fixation	+	180410
177.1826171875	2.0009765625	word	zei	181435
179.18359375	1.00390625	fixation	+	183484
180.1875	2.0009765625	word	donkere	184512
182.1884765625	1.0009765625	fixation	+	186561
183.189453125	2.0029296875	word	uit	187586
185.1923828125	1.0009765625	fixation	+	189637
186.193359375	2.0	word	redetwisten	190662
188.193359375	1.0048828125	fixation	+	192710
189.1982421875	2.0	word	kwamen	193739
191.1982421875	1.0	fixation	+	195787
192.1982421875	2.001953125	word	sterkste	196811
194.2001953125	1.0009765625	fixation	+	198861
195.201171875	2.0029296875	word	stilstaan	199886
197.2041015625	1.0	fixation	+	201937
198.2041015625	1.9990234375	word	8	202961
200.203125	1.00390625	fixation	+	205008
201.20703125	2.0009765625	word	doodsbang	206036
203.2080078125	1.001953125	fixation	+	208085
204.2099609375	1.9951171875	word	er	209111
206.205078125	1.0078125	fixation	+	211154
207.212890625	2.0009765625	word	niet	212186
209.2138671875	1.001953125	fixation	+	214235
210.2158203125	2.0048828125	word	was	215261
212.220703125	0.9990234375	fixation	+	217314
213.2197265625	2.00390625	word	mij	218337
215.2236328125	1.001953125	fixation	+	220389
216.2255859375	1.9990234375	word	al	221415
218.224609375	1.0009765625	fixation	+	223462
219.2255859375	2.0009765625	word	die	224487
221.2265625	1.00390625	fixation	+	226536
222.23046875	2.0	word	helft	227564
224.23046875	1.0009765625	fixation	+	229612
225.2314453125	2.0	word	werd	230637
227.2314453125	1.00390625	fixation	+	232685
228.2353515625	2.0009765625	word	mooie	233713
230.236328125	1.0029296875	fixation	+	235762
231.2392578125	2.0	word	12	236789
233.2392578125	1.0029296875	fixation	+	238837
234.2421875	2.0009765625	word	op	239864
236.2431640625	1.0009765625	fixation	+	241913
237.244140625	2.0	word	vogeltje	242938
239.244140625	1.0029296875	fixation	+	244986
240.2470703125	2.0009765625	word	zijn	246013
242.248046875	1.001953125	fixation	+	248062
243.25	2.005859375	word	het	249088
245.255859375	0.9970703125	fixation	+	251142
246.2529296875	2.0009765625	word	mijn	252163
248.25390625	1.0029296875	fixation	+	254212
249.2568359375	2.0	word	10	255239
251.2568359375	1.001953125	fixation	+	257287
252.2587890625	2.0029296875	word	direct	258313
254.26171875	1.001953125	fixation	+	260364
255.263671875	2.0048828125	word	zich	261390
257.2685546875	0.998046875	fixation	+	263443
258.2666015625	2.0009765625	word	moment	264465
260.267578125	1.0009765625	fixation	+	266514
261.2685546875	2.0009765625	word	nog	267539
263.26953125	1.00390625	fixation	+	269588
264.2734375	2.0009765625	word	waren	270616
266.2744140625	1.001953125	fixation	+	272665
267.2763671875	2.001953125	word	kasteel	273691
269.2783203125	1.0029296875	fixation	+	275741
270.28125	2.0009765625	word	aan	276768
272.2822265625	1.0009765625	fixation	+	278817
273.283203125	1.9990234375	word	door	279842
275.2822265625	1.0029296875	fixation	+	281889
276.28515625	2.0009765625	word	hem	282916
278.2861328125	1.0009765625	fixation	+	284965
279.287109375	2.0029296875	word	7	285990
281.2900390625	1.0009765625	fixation	+	288041
282.291015625	1.998046875	word	nu	289066
284.2890625	1.0048828125	fixation	+	291112
285.2939453125	1.9990234375	word	zandbak	292141
287.29296875	1.0048828125	fixation	+	294188
288.2978515625	2.0	word	zou	295217
290.2978515625	0.9990234375	fixation	+	297265
291.296875	2.0029296875	word	verlost	298288
293.2998046875	1.0	fixation	+	300339
294.2998046875	2.0048828125	word	braadde	301363
296.3046875	1.0009765625	fixation	+	303416
297.3056640625	2.0009765625	word	spreuk	304441
