onset	duration	trial_type	value	sample
0.0	1.9990234375	word	helft	0
1.9990234375	1.00390625	fixation	+	2047
3.0029296875	1.9931640625	word	hierop	3075
4.99609375	1.0087890625	fixation	+	5116
6.0048828125	1.998046875	word	stiekem	6149
8.0029296875	1.0087890625	fixation	+	8195
9.01171875	1.990234375	word	en	9228
11.001953125	1.009765625	fixation	+	11266
12.01171875	1.994140625	word	zevenduizend	12300
14.005859375	1.0107421875	fixation	+	14342
15.0166015625	1.990234375	word	braadde	15377
17.0068359375	1.013671875	fixation	+	17415
18.0205078125	2.0	word	vloog	18453
20.0205078125	1.001953125	fixation	+	20501
21.0224609375	2.00390625	word	werd	21527
23.0263671875	1.0009765625	fixation	+	23579
24.02734375	2.0009765625	word	wegpakte	24604
26.0283203125	1.0009765625	fixation	+	26653
27.029296875	2.0	word	wak	27678
29.029296875	1.0029296875	fixation	+	29726
30.0322265625	2.001953125	word	zich	30753
32.0341796875	1.0009765625	fixation	+	32803
33.03515625	2.0029296875	word	9	33828
35.0380859375	1.0009765625	fixation	+	35879
36.0390625	2.001953125	word	10	36904
38.041015625	1.001953125	fixation	+	38954
39.04296875	2.0	word	tuwiet	39980
41.04296875	1.001953125	fixation	+	42028
42.044921875	2.001953125	word	bakker	43054
44.046875	1.0	fixation	+	45104
45.046875	2.0029296875	word	hem	46128
47.0498046875	1.001953125	fixation	+	48179
48.0517578125	2.0029296875	word	kin	49205
50.0546875	1.0	fixation	+	51256
51.0546875	2.001953125	word	stilstaan	52280
53.056640625	1.0029296875	fixation	+	54330
54.0595703125	1.9990234375	word	bevrijd	55357
56.05859375	1.0029296875	fixation	+	57404
57.0615234375	2.0	word	aan	58431
59.0615234375	1.001953125	fixation	+	60479
60.0634765625	2.001953125	word	wel	61505
62.0654296875	0.9990234375	fixation	+	63555
63.064453125	2.0029296875	word	was	64578
65.0673828125	1.0048828125	fixation	+	66629
66.072265625	1.99609375	word	hoe	67658
68.068359375	1.0029296875	fixation	+	69702
69.0712890625	2.001953125	word	8	70729
71.0732421875	1.00390625	fixation	+	72779
72.0771484375	1.9990234375	word	groen	73807
74.076171875	1.0048828125	fixation	+	75854
75.0810546875	2.0	word	maantje	76883
77.0810546875	1.001953125	fixation	+	78931
78.0830078125	1.998046875	word	vogelkooitje	79957
80.0810546875	1.0048828125	fixation	+	82003
81.0859375	1.9990234375	word	6	83032
83.0849609375	1.0048828125	fixation	+	85079
84.08984375	2.0	word	teruggekregen	86108
86.08984375	1.0009765625	fixation	+	88156
87.0908203125	2.001953125	word	wanneer	89181
89.0927734375	1.0029296875	fixation	+	91231
90.095703125	2.0009765625	word	juist	92258
92.0966796875	0.9990234375	fixation	+	94307
93.095703125	2.0048828125	word	zanddak	95330
95.1005859375	1.0009765625	fixation	+	97383
96.1015625	1.9990234375	word	lij	98408
98.1005859375	1.00390625	fixation	+	100455
99.1044921875	2.001953125	word	of	101483
101.1064453125	0.998046875	fixation	+	103533
102.1044921875	2.0029296875	word	over	104555
104.107421875	1.001953125	fixation	+	106606
105.109375	1.998046875	word	dat	107632
107.107421875	1.00390625	fixation	+	109678
108.111328125	1.9970703125	word	betovering	110706
110.1083984375	1.005859375	fixation	+	112751
111.1142578125	1.9951171875	word	gefluit	113781
113.109375	1.0068359375	fixation	+	115824
114.1162109375	2.0068359375	word	3	116855
116.123046875	0.99609375	fixation	+	118910
117.119140625	2.0009765625	word	zei	119930
119.1201171875	1.00390625	fixation	+	121979
120.1240234375	1.9970703125	word	bak	123007
122.12109375	1.0048828125	fixation	+	125052
123.1259765625	2.0009765625	word	5	126081
125.126953125	1.0009765625	fixation	+	128130
126.1279296875	1.9931640625	word	niet	129155
128.12109375	1.0078125	fixation	+	131196
129.12890625	2.0029296875	word	nachtegalen	132228
131.1318359375	1.00390625	fixation	+	134279
132.1357421875	1.9921875	word	te	135307
134.1279296875	1.009765625	fixation	+	137347
135.1376953125	2.001953125	word	komt	138381
137.1396484375	1.0029296875	fixation	+	140431
138.142578125	2.0009765625	word	van	141458
140.1435546875	1.001953125	fixation	+	143507
141.1455078125	1.9990234375	word	dauwdruppel	144533
143.14453125	1.0029296875	fixation	+	146580
144.1474609375	2.0029296875	word	met	147607
146.150390625	1.0	fixation	+	149658
147.150390625	2.00390625	word	sterkste	150682
149.154296875	1.0	fixation	+	152734
150.154296875	2.001953125	word	totdat	153758
152.15625	1.0009765625	fixation	+	155808
153.1572265625	2.001953125	word	helemaal	156833
155.1591796875	1.0009765625	fixation	+	158883
156.16015625	2.0029296875	word	mooie	159908
158.1630859375	0.9990234375	fixation	+	161959
159.162109375	2.0009765625	word	sprong	162982
161.1630859375	1.0029296875	fixation	+	165031
162.166015625	2.001953125	word	ze	166058
164.16796875	1.001953125	fixation	+	168108
165.169921875	2.0009765625	word	smeekte	169134
167.1708984375	1.0009765625	fixation	+	171183
168.171875	2.0009765625	word	pak	172208
170.1728515625	1.0029296875	fixation	+	174257
171.17578125	2.0	word	boomstammen	175284
173.17578125	1.001953125	fixation	+	177332
174.177734375	2.0009765625	word	dan	178358
176.1787109375	1.0	fixation	+	180407
177.1787109375	2.00390625	word	er	181431
179.1826171875	1.0	fixation	+	183483
180.1826171875	2.001953125	word	onmiddellijk	184507
182.1845703125	1.001953125	fixation	+	186557
183.1865234375	1.9990234375	word	vogeltje	187583
185.185546875	1.0048828125	fixation	+	189630
186.1904296875	2.001953125	word	dit	190659
188.1923828125	0.998046875	fixation	+	192709
189.1904296875	2.0029296875	word	door	193731
191.193359375	1.0	fixation	+	195782
192.193359375	2.0048828125	word	mooi	196806
194.1982421875	0.998046875	fixation	+	198859
195.1962890625	2.00390625	word	een	199881
197.2001953125	1.0009765625	fixation	+	201933
198.201171875	2.0009765625	word	zijn	202958
200.2021484375	1.0	fixation	+	205007
201.2021484375	2.001953125	word	nog	206031
203.2041015625	1.0009765625	fixation	+	208081
204.205078125	2.005859375	word	op	209106
206.2109375	0.9970703125	fixation	+	211160
207.2080078125	2.0068359375	word	verstijfde	212181
209.21484375	1.0	fixation	+	214236
210.21484375	1.9970703125	word	al	215260
212.2119140625	1.001953125	fixation	+	217305
213.2138671875	2.0048828125	word	het	218331
215.21875	0.998046875	fixation	+	220384
216.216796875	2.001953125	word	haar	221406
218.21875	1.001953125	fixation	+	223456
219.220703125	2.0009765625	word	redetwisten	224482
221.2216796875	1.00390625	fixation	+	226531
222.2255859375	1.998046875	word	om	227559
224.2236328125	1.0029296875	fixation	+	229605
225.2265625	2.0009765625	word	kasteel	230632
227.2275390625	1.001953125	fixation	+	232681
228.2294921875	2.001953125	word	vak	233707
230.2314453125	1.0029296875	fixation	+	235757
231.234375	1.9990234375	word	7	236784
233.2333984375	1.0029296875	fixation	+	238831
234.236328125	2.001953125	word	donkere	239858
236.23828125	1.0009765625	fixation	+	241908
237.2392578125	1.99609375	word	struik	242933
239.2353515625	1.0068359375	fixation	+	244977
240.2421875	2.0009765625	word	naar	246008
242.2431640625	1.0029296875	fixation	+	248057
243.24609375	1.9951171875	word	maar	249084
245.2412109375	1.0078125	fixation	+	251127
246.2490234375	1.998046875	word	ook	252159
248.2470703125	1.00390625	fixation	+	254205
249.2509765625	2.001953125	word	verdwaald	255233
251.2529296875	1.001953125	fixation	+	257283
252.2548828125	2.0	word	12	258309
254.2548828125	1.0	fixation	+	260357
255.2548828125	2.00390625	word	dakker	261381
257.2587890625	1.001953125	fixation	+	263433
258.2607421875	1.998046875	word	je	264459
260.2587890625	1.0048828125	fixation	+	266505
261.263671875	1.994140625	word	direct	267534
263.2578125	1.0068359375	fixation	+	269576
264.2646484375	2.0	word	2	270607
266.2646484375	1.00390625	fixation	+	272655
267.2685546875	1.99609375	word	spreuk	273683
269.2646484375	1.0068359375	fixation	+	275727
270.271484375	1.998046875	word	binnenplaats	276758
272.26953125	1.0029296875	fixation	+	278804
273.2724609375	2.0	word	hij	279831
275.2724609375	1.0009765625	fixation	+	281879
276.2734375	2.0029296875	word	onschuldig	282904
278.2763671875	1.001953125	fixation	+	284955
279.2783203125	1.9990234375	word	als	285981
281.27734375	1.0009765625	fixation	+	288028
282.2783203125	2.00390625	word	`s	289053
284.2822265625	1.00390625	fixation	+	291105
285.2861328125	1.9970703125	word	tussen	292133
287.283203125	1.0029296875	fixation	+	294178
288.2861328125	2.0029296875	word	zo	295205
290.2890625	0.9970703125	fixation	+	297256
291.2861328125	2.0087890625	word	meisjes	298277
293.294921875	0.998046875	fixation	+	300334
294.29296875	2.0029296875	word	veel	301356
296.2958984375	1.00390625	fixation	+	303407
297.2998046875	2.001953125	word	schold	304435
