name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
LA1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LA2	SEEG	µV	0.0	512.0	ctx_lh_G_and_S_occipital_inf	1024.0	n/a
LA3	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LA4	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
LA5	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
LA7	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LA8	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LO1	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO2	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO3	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO6	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO7	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO8	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO9	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO10	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO11	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO12	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO13	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
LO14	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LO15	SEEG	µV	0.0	512.0	ctx_lh_G_occipital_middle	1024.0	n/a
LO16	SEEG	µV	0.0	512.0	ctx_lh_G_occipital_middle	1024.0	n/a
LO17	SEEG	µV	0.0	512.0	ctx_lh_G_occipital_middle	1024.0	n/a
LO18	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LB1	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
LB2	SEEG	µV	0.0	512.0	ctx_lh_S_oc-temp_med_and_Lingual	1024.0	n/a
LB4	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB5	SEEG	µV	0.0	512.0	Left-Cerebral-White-Matter	1024.0	n/a
LB6	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
LB7	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
LB8	SEEG	µV	0.0	512.0	ctx_lh_S_occipital_ant	1024.0	n/a
