name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
RX1	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX2	SEEG	µV	0.0	512.0	ctx_rh_S_circular_insula_sup	1024.0	n/a
RX3	SEEG	µV	0.0	512.0	ctx_rh_G_front_inf-Opercular	1024.0	n/a
RX6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX9	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RX10	SEEG	µV	0.0	512.0	ctx_rh_G_front_inf-Opercular	1024.0	n/a
RH1	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH2	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH3	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH4	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RH9	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_inf	1024.0	n/a
RH10	SEEG	µV	0.0	512.0	ctx_rh_S_temporal_inf	1024.0	n/a
RH12	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RH13	SEEG	µV	0.0	512.0	ctx_rh_G_temporal_middle	1024.0	n/a
RS1	SEEG	µV	0.0	512.0	ctx_rh_G_temp_sup-Plan_polar	1024.0	n/a
RS2	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RS4	SEEG	µV	0.0	512.0	ctx_rh_G_temp_sup-G_T_transv	1024.0	n/a
RS5	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RS7	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RS8	SEEG	µV	0.0	512.0	Unknown	1024.0	n/a
RT2	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RT3	SEEG	µV	0.0	512.0	Right-Hippocampus	1024.0	n/a
RT4	SEEG	µV	0.0	512.0	Right-choroid-plexus	1024.0	n/a
RT6	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RT7	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
RT10	SEEG	µV	0.0	512.0	Right-Cerebral-White-Matter	1024.0	n/a
