onset	duration	trial_type	value	sample
0.0009765625	1.9990234375	word	vogeltje	1
2.0	1.0	fixation	+	2048
3.0	2.0048828125	word	wel	3072
5.0048828125	0.998046875	fixation	+	5125
6.0029296875	2.0048828125	word	mooi	6147
8.0078125	1.0009765625	fixation	+	8200
9.0087890625	2.0068359375	word	daarna	9225
11.015625	0.998046875	fixation	+	11280
12.013671875	2.0009765625	word	kasteel	12302
14.0146484375	1.001953125	fixation	+	14351
15.0166015625	2.0029296875	word	dit	15377
17.01953125	1.0	fixation	+	17428
18.01953125	2.0009765625	word	dan	18452
20.0205078125	1.001953125	fixation	+	20501
21.0224609375	2.0	word	helemaal	21527
23.0224609375	1.001953125	fixation	+	23575
24.0244140625	2.0029296875	word	wegpakte	24601
26.02734375	1.0029296875	fixation	+	26652
27.0302734375	2.001953125	word	of	27679
29.0322265625	1.0009765625	fixation	+	29729
30.033203125	2.0009765625	word	zou	30754
32.0341796875	1.0009765625	fixation	+	32803
33.03515625	2.00390625	word	9	33828
35.0390625	1.0009765625	fixation	+	35880
36.0400390625	2.001953125	word	teruggekregen	36905
38.0419921875	1.001953125	fixation	+	38955
39.0439453125	2.0009765625	word	bij	39981
41.044921875	1.0009765625	fixation	+	42030
42.0458984375	2.001953125	word	redetwisten	43055
44.0478515625	1.001953125	fixation	+	45105
45.0498046875	2.0	word	dakker	46131
47.0498046875	1.001953125	fixation	+	48179
48.0517578125	2.0009765625	word	zijn	49205
50.052734375	1.001953125	fixation	+	51254
51.0546875	2.001953125	word	was	52280
53.056640625	0.9990234375	fixation	+	54330
54.0556640625	2.00390625	word	naar	55353
56.0595703125	1.0009765625	fixation	+	57405
57.060546875	2.0	word	bloedrode	58430
59.060546875	1.0009765625	fixation	+	60478
60.0615234375	2.00390625	word	direct	61503
62.0654296875	1.0009765625	fixation	+	63555
63.06640625	2.0009765625	word	7	64580
65.0673828125	1.001953125	fixation	+	66629
66.0693359375	2.0029296875	word	stilstaan	67655
68.072265625	1.0	fixation	+	69706
69.072265625	2.0	word	aan	70730
71.072265625	1.0048828125	fixation	+	72778
72.0771484375	2.001953125	word	veel	73807
74.0791015625	0.9990234375	fixation	+	75857
75.078125	2.0029296875	word	komt	76880
77.0810546875	1.0	fixation	+	78931
78.0810546875	2.0009765625	word	zei	79955
80.08203125	1.001953125	fixation	+	82004
81.083984375	2.001953125	word	10	83030
83.0859375	1.0009765625	fixation	+	85080
84.0869140625	2.001953125	word	over	86105
86.0888671875	1.0	fixation	+	88155
87.0888671875	2.0078125	word	ook	89179
89.0966796875	0.99609375	fixation	+	91235
90.0927734375	2.0009765625	word	ze	92255
92.09375	1.00390625	fixation	+	94304
93.09765625	1.998046875	word	werd	95332
95.095703125	1.0048828125	fixation	+	97378
96.1005859375	2.0009765625	word	nachtegalen	98407
98.1015625	1.0	fixation	+	100456
99.1015625	2.001953125	word	in	101480
101.103515625	1.0009765625	fixation	+	103530
102.1044921875	2.0029296875	word	betovering	104555
104.107421875	1.0029296875	fixation	+	106606
105.1103515625	1.9970703125	word	2	107633
107.107421875	1.001953125	fixation	+	109678
108.109375	2.0048828125	word	braadde	110704
110.1142578125	1.001953125	fixation	+	112757
111.1162109375	1.994140625	word	zich	113783
113.1103515625	1.009765625	fixation	+	115825
114.1201171875	1.9990234375	word	juist	116859
116.119140625	1.005859375	fixation	+	118906
117.125	1.99609375	word	en	119936
119.12109375	1.0029296875	fixation	+	121980
120.1240234375	2.001953125	word	groen	123007
122.1259765625	1.001953125	fixation	+	125057
123.1279296875	2.0029296875	word	zandbak	126083
125.130859375	1.001953125	fixation	+	128134
126.1328125	1.9990234375	word	`s	129160
128.1318359375	1.00390625	fixation	+	131207
129.1357421875	1.9892578125	word	sok	132235
131.125	1.013671875	fixation	+	134272
132.138671875	2.00390625	word	had	135310
134.142578125	1.0009765625	fixation	+	137362
135.1435546875	2.001953125	word	bakker	138387
137.1455078125	1.0009765625	fixation	+	140437
138.146484375	2.0029296875	word	4	141462
140.1494140625	1.001953125	fixation	+	143513
141.1513671875	1.998046875	word	smeekte	144539
143.1494140625	1.0009765625	fixation	+	146585
144.150390625	2.00390625	word	mij	147610
146.154296875	1.0068359375	fixation	+	149662
147.1611328125	1.99609375	word	mijn	150693
149.1572265625	1.001953125	fixation	+	152737
150.1591796875	1.9990234375	word	vogelkooitje	153763
152.158203125	1.00390625	fixation	+	155810
153.162109375	2.00390625	word	geen	156838
155.166015625	1.0	fixation	+	158890
156.166015625	2.0009765625	word	hierop	159914
158.1669921875	1.0	fixation	+	161963
159.1669921875	2.005859375	word	dat	162987
161.1728515625	1.0	fixation	+	165041
162.1728515625	2.0029296875	word	voor	166065
164.17578125	1.0	fixation	+	168116
165.17578125	2.0	word	spreuk	169140
